"bron_id","client_id","cnt_brons","rest_id"
1,2378,3,8
2,1330,5,5294
3,2459,1,5036
4,4286,4,37211
5,4280,4,38608
6,170,2,29538
7,4656,1,7909
8,4026,5,30449
9,4045,1,27229
10,4192,1,2323
11,1300,4,42335
12,4265,4,8520
13,1033,1,42013
14,3952,3,6397
15,1411,3,2080
16,4834,3,6338
17,4294,2,43313
18,5620,3,6677
19,2679,2,19035
20,5044,4,35629
21,1950,2,9998
22,3798,2,27059
23,894,3,12368
24,1462,2,38614
25,5721,2,25606
26,4166,4,44888
27,3253,3,33405
28,2261,1,6752
29,2115,3,38589
30,4154,2,30123
31,2974,1,9219
32,1627,2,28630
33,1026,2,11375
34,4696,1,17482
35,1646,3,4611
36,4499,2,31130
37,1111,4,13560
38,932,3,37404
39,985,2,4454
40,2045,3,21706
41,3508,5,1871
42,2588,5,3221
43,426,2,7846
44,1159,2,8366
45,544,2,22274
46,1832,1,22152
47,4766,3,19274
48,2471,5,26602
49,5486,5,5372
50,1835,3,41024
51,5591,1,12213
52,1972,4,27223
53,2756,1,29018
54,2437,1,7971
55,4821,3,22574
56,3122,3,13946
57,1250,2,19838
58,3791,5,9194
59,4477,3,21367
60,1329,2,34026
61,3231,3,36241
62,1925,1,34154
63,4925,4,11023
64,2716,2,9232
65,823,5,35731
66,2990,4,25435
67,3883,2,24582
68,4405,3,19604
69,111,2,6470
70,4773,4,34017
71,5613,1,4301
72,4176,5,30856
73,4813,3,3700
74,2543,1,13590
75,216,4,10330
76,3556,3,19058
77,755,2,8935
78,833,1,30060
79,3840,5,18714
80,218,2,29613
81,1369,1,38200
82,1623,5,17483
83,608,2,40455
84,3179,5,42409
85,3819,3,46464
86,631,1,40451
87,5527,4,7972
88,5446,4,5329
89,5477,2,1320
90,97,4,9839
91,3920,4,17146
92,4584,2,16677
93,3952,3,27564
94,1981,5,23366
95,1443,4,4792
96,1134,5,18640
97,2954,1,9123
98,3105,2,19652
99,3989,3,8873
100,1224,3,23660
101,4504,2,8192
102,4709,2,34872
103,1278,5,38616
104,2248,3,25955
105,1217,2,43314
106,3470,1,43459
107,5568,2,21212
108,2260,3,624
109,3905,2,11370
110,1788,4,38314
111,5158,5,25503
112,1041,5,41143
113,2193,3,20247
114,58,3,17475
115,3243,2,39248
116,3491,2,15662
117,3790,4,7143
118,2049,5,23056
119,1675,5,12851
120,4378,1,25178
121,1227,3,40644
122,1323,4,20665
123,2981,3,19032
124,5562,4,20247
125,1590,5,28794
126,2718,1,2107
127,4841,5,1332
128,4419,1,302
129,2211,4,38159
130,3203,4,6807
131,382,1,42608
132,3328,3,3100
133,2197,2,37190
134,2411,4,1593
135,4426,2,40970
136,4534,3,1798
137,3263,3,45389
138,5621,2,36045
139,857,2,11054
140,5511,2,12589
141,2051,2,33646
142,3025,1,38159
143,2215,4,9267
144,858,3,3249
145,2815,5,1262
146,1358,2,28036
147,3629,2,22734
148,2231,4,38633
149,4301,2,36409
150,3288,3,5490
151,3276,4,17169
152,4681,2,8709
153,209,2,2889
154,4082,1,5036
155,1014,5,45498
156,5104,2,42589
157,1993,1,37505
158,5026,2,33404
159,845,4,8191
160,1348,1,2044
161,3999,4,24827
162,5751,2,20988
163,4692,3,7603
164,5472,1,510
165,1664,3,43073
166,1886,4,34596
167,252,3,30140
168,2765,4,3478
169,2237,3,24788
170,4325,3,20319
171,3391,3,19766
172,2020,2,29062
173,5265,4,37404
174,3488,4,7988
175,2264,1,2944
176,2800,3,36242
177,665,2,30185
178,2693,3,11367
179,136,1,45553
180,4311,1,42785
181,168,1,46371
182,5728,5,30134
183,1475,4,35857
184,5171,2,34896
185,74,3,11145
186,1407,1,43218
187,3775,3,29465
188,4021,4,42710
189,4529,4,23649
190,1889,4,8399
191,228,5,28889
192,997,1,25271
193,5686,5,41669
194,4234,2,21342
195,4125,3,26142
196,4786,2,9368
197,705,4,36241
198,3292,4,31511
199,3000,1,9267
200,147,2,24556
201,273,2,21893
202,2775,4,7768
203,2511,1,16277
204,433,3,34846
205,248,4,13844
206,3914,3,28629
207,5265,4,33007
208,3809,1,45506
209,4072,3,14494
210,910,4,42518
