"client_id","age","gender","city"
966,54,F,г. Москва
70,19,F,г. Москва
71,19,M,г. Москва
72,21,F,г. Москва
76,24,F,г. Москва
77,24,F,г. Москва
78,29,M,г. Москва
80,21,F,г. Москва
164,42,F,г. Москва
646,26,F,г. Москва
974,25,M,г. Москва
91,41,M,г. Москва
651,19,F,г. Москва
95,29,F,г. Москва
989,33,F,г. Москва
102,21,M,г. Москва
106,25,F,г. Москва
657,23,F,г. Москва
1004,22,F,г. Москва
189,19,F,г. Москва
118,34,F,г. Москва
692,19,F,г. Москва
125,24,M,г. Москва
127,27,M,г. Москва
207,20,M,г. Москва
208,31,F,г. Москва
713,40,M,г. Москва
1045,24,F,г. Москва
140,18,F,г. Москва
142,34,F,г. Москва
155,24,M,г. Москва
157,22,M,г. Москва
163,22,F,г. Москва
242,22,F,г. Москва
1078,34,F,г. Москва
760,52,F,г. Москва
175,31,M,г. Москва
176,19,M,г. Москва
1093,26,M,г. Москва
792,25,F,г. Москва
186,25,M,г. Москва
1121,31,F,г. Москва
191,24,F,г. Москва
1123,27,F,г. Москва
195,29,M,г. Москва
198,33,F,г. Москва
204,19,F,г. Москва
210,45,M,г. Москва
295,28,M,г. Москва
215,29,M,г. Москва
220,28,F,г. Москва
299,55,F,г. Москва
232,47,M,г. Москва
233,30,M,г. Москва
249,27,M,г. Москва
345,29,F,г. Москва
263,23,M,г. Москва
1244,16,F,г. Москва
277,27,F,г. Москва
285,20,M,г. Москва
287,33,F,г. Москва
291,18,M,г. Москва
401,17,F,г. Москва
298,21,F,г. Москва
300,25,F,г. Москва
301,46,M,г. Москва
303,18,F,г. Москва
1322,21,M,г. Москва
326,29,F,г. Москва
330,32,F,г. Москва
455,20,F,г. Москва
338,20,M,г. Москва
340,21,M,г. Москва
342,68,M,г. Москва
344,20,F,г. Москва
350,34,F,г. Москва
352,67,M,г. Москва
353,18,F,г. Москва
356,16,F,г. Москва
362,24,M,г. Москва
363,31,F,г. Москва
371,24,M,г. Москва
373,24,M,г. Москва
485,27,M,г. Москва
385,25,F,г. Москва
388,35,F,г. Москва
389,18,M,г. Москва
391,27,M,г. Москва
498,22,F,г. Москва
398,21,M,г. Москва
402,18,F,г. Москва
410,30,M,г. Москва
411,30,M,г. Москва
413,24,F,г. Москва
421,25,F,г. Москва
422,28,M,г. Москва
424,18,F,г. Москва
425,29,M,г. Москва
427,21,F,г. Москва
428,30,M,г. Москва
431,27,F,г. Москва
435,24,M,г. Москва
438,19,M,г. Москва
1466,30,M,г. Москва
463,33,M,г. Москва
465,31,F,г. Москва
467,37,F,г. Москва
473,29,F,г. Москва
1131,66,F,г. Москва
478,23,M,г. Москва
492,24,F,г. Москва
493,45,M,г. Москва
1152,34,M,г. Москва
497,20,M,г. Москва
500,19,F,г. Москва
502,29,F,г. Москва
507,30,F,г. Москва
512,22,M,г. Москва
522,33,M,г. Москва
523,25,M,г. Москва
527,23,F,г. Москва
532,25,F,г. Москва
533,33,F,г. Москва
536,50,M,г. Москва
547,21,M,г. Москва
1641,49,M,г. Москва
1642,18,F,г. Москва
552,18,M,г. Москва
556,18,M,г. Москва
560,57,F,г. Москва
569,22,M,г. Москва
572,21,F,г. Москва
580,30,F,г. Москва
589,28,F,г. Москва
1690,28,F,г. Москва
599,23,M,г. Москва
600,26,M,г. Москва
602,21,F,г. Москва
604,25,F,г. Москва
609,25,F,г. Москва
1705,35,M,г. Москва
618,21,F,г. Москва
730,22,F,г. Москва
636,32,M,г. Москва
650,60,M,г. Москва
656,19,F,г. Москва
659,26,F,г. Москва
660,20,F,г. Москва
661,22,F,г. Москва
663,21,F,г. Москва
667,22,F,г. Москва
668,23,F,г. Москва
672,20,F,г. Москва
677,21,M,г. Москва
688,30,M,г. Москва
1372,19,F,г. Москва
690,22,F,г. Москва
695,33,F,г. Москва
715,18,M,г. Москва
725,21,F,г. Москва
729,18,M,г. Москва
856,65,F,г. Москва
736,25,M,г. Москва
879,28,M,г. Москва
758,23,F,г. Москва
1957,26,F,г. Москва
767,20,M,г. Москва
774,28,M,г. Москва
775,22,F,г. Москва
781,20,F,г. Москва
786,28,F,г. Москва
1979,19,F,г. Москва
789,25,M,г. Москва
790,33,F,г. Москва
794,24,F,г. Москва
797,19,F,г. Москва
800,19,F,г. Москва
1533,18,M,г. Москва
946,33,F,г. Москва
817,30,F,г. Москва
2018,25,M,г. Москва
2060,22,F,г. Москва
